MPIO_CNMBR,DPTO_CNMBR,MPIO_CDPMP,pob_dane_2025,Hab_km2_2025,Tp_Ru_2025,Desc,Muni_Nom_Cruce,Nivel_Castigo
MEDELLÍN,ANTIOQUIA,5001,2634570,70341.0,1,Ciudades y Aglomeraciones,Medellin,1.0
ABEJORRAL,ANTIOQUIA,5002,21622,427.0,3,Rural,Abejorral,3.0
ABRIAQUÍ,ANTIOQUIA,5004,2872,97.0,4,Rural Disperso,Abriaqui,3.0
ALEJANDRÍA,ANTIOQUIA,5021,4989,387.0,3,Rural,Alejandria,3.0
AMAGÁ,ANTIOQUIA,5030,32628,3881.0,1,Ciudades y Aglomeraciones,Amaga,1.0
AMALFI,ANTIOQUIA,5031,28059,232.0,3,Rural,Amalfi,3.0
ANDES,ANTIOQUIA,5034,46485,1156.0,1,Ciudades y Aglomeraciones,Andes,1.0
ANGELÓPOLIS,ANTIOQUIA,5036,6183,756.0,2,Intermedio,Angelopolis,2.0
ANGOSTURA,ANTIOQUIA,5038,12190,360.0,3,Rural,Angostura,3.0
ANORÍ,ANTIOQUIA,5040,19812,140.0,3,Rural,Anori,3.0
SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,5042,28246,537.0,2,Intermedio,Santa Fe De Antioquia,3.0
ANZÁ,ANTIOQUIA,5044,7537,295.0,3,Rural,Anza,2.0
APARTADÓ,ANTIOQUIA,5045,132328,2477.0,1,Ciudades y Aglomeraciones,Apartado,3.0
ARBOLETES,ANTIOQUIA,5051,32478,431.0,3,Rural,Arboletes,2.0
ARGELIA,ANTIOQUIA,5055,8075,329.0,3,Rural,Argelia,3.0
ARMENIA,ANTIOQUIA,5059,5450,494.0,3,Rural,Armenia,2.0
BARBOSA,ANTIOQUIA,5079,56505,2749.0,1,Ciudades y Aglomeraciones,Barbosa,1.0
BELMIRA,ANTIOQUIA,5086,6436,217.0,3,Rural,Belmira,2.0
BELLO,ANTIOQUIA,5088,570329,38642.0,1,Ciudades y Aglomeraciones,Bello,1.0
BETANIA,ANTIOQUIA,5091,10985,609.0,2,Intermedio,Betania,2.0
BETULIA,ANTIOQUIA,5093,16722,638.0,2,Intermedio,Betulia,2.0
CIUDAD BOLÍVAR,ANTIOQUIA,5101,27884,1058.0,1,Ciudades y Aglomeraciones,Ciudad Bolivar,1.0
BRICEÑO,ANTIOQUIA,5107,8599,229.0,3,Rural,Briceno,3.0
BURITICÁ,ANTIOQUIA,5113,10105,285.0,3,Rural,Buritica,2.0
CÁCERES,ANTIOQUIA,5120,31368,167.0,3,Rural,Caceres,3.0
CAICEDO,ANTIOQUIA,5125,8938,447.0,3,Rural,Caicedo,3.0
CALDAS,ANTIOQUIA,5129,86667,6533.0,1,Ciudades y Aglomeraciones,Caldas,1.0
CAMPAMENTO,ANTIOQUIA,5134,9839,424.0,3,Rural,Campamento,3.0
